CENTRO_COSTO_MGX_COD_AGRUPACION	CENTRO_COSTO_MGX_DESC_AREA	DESCR_CORTA
126	DEPARTAMENTO DE FORMACI�N HUMAN�STICA                                                               	DFH
127	FACULTAD DE CIENCIAS EMPRESARIALES                                                                  	FCE       
128	FACULTAD DE DERECHO                                                                                 	FD
129	FACULTAD DE CIENCIAS HUMANAS                                                                        	FCH       
130	FACULTAD DE INGENIERIA Y TECNOLOG�AS                                                                	FIT       
131	FACULTAD DE PSICOLOG�A                                                                              	FPSIC
132	FACULTAD DE ODONTOLOG�A                                                                             	FOD       
133	DIRECCI�N DE RELACIONES INSTITUCIONALES Y COMUNICACIONES                                            	DIRSECCOM
134	SEDE PUNTA DEL ESTE- MALDONADO                                                                      	PESTE     
135	SEDE LITORAL NORTE - PAYSAND�                                                                       	PDU
136	SEDE LITORAL NORTE - SALTO                                                                          	SALTO     
137	ASESOR�A LEGAL                                                                                      	ASSLEGAL
138	BIBLIOTECA Y ARCHIVO                                                                                	BIBLIOTECA
139	SECRETARIA SEDE CENTRO                                                                              	CDP
140	DIRECCI�N ADMINISTRATIVA Y FINANCIERA                                                               	DAF       
142	DIRECCI�N DE PLANTA F�SICA                                                                          	DPF       
143	DIRECCI�N DE RECURSOS HUMANOS                                                                       	DIRGESTHUM
144	FACULTAD DE ENFERMER�A Y TECNOLOG�AS DE LA SALUD                                                    	FETS
145	GENERALES                                                                                           	Generales 
146	CENTRO DE DESARROLLO PROFESIONAL                                                                    	CDP
147	SEDES MONTEVIDEO                                                                                    	MDEO
148	RECTOR�A                                                                                            	Rector�a  
149	REGISTRO ACAD�MICO                                                                                  	ORA
151	SEDE TACUAREMB�                                                                                     	TBO
152	VICERRECTOR�A DEL MEDIO UNIVERSITARIO                                                               	VMU
153	VICERRECTOR�A ACAD�MICA                                                                             	VRAC
154	VICERRECTOR�A ADMINISTRATIVA                                                                        	VRAD      
155	IDIOMAS                                                                                             	Idiomas
156	ISEDE                                                                                               	ISEDE
157	SERVICIO DE ATENCI�N AL AULA                                                                        	SAA
158	ASESOR�A EN SISTEMAS DE INFORMACI�N                                                                 	DSI       
159	SECRETARIA DE PLANEAMIENTO Y AN�LISIS INSTITUCIONAL                                                 	SEPLANI
160	DEPARTAMENTO DE FORMACI�N HUMAN�STICA                                                               	DFH
161	FACULTAD DE CIENCIAS EMPRESARIALES                                                                  	FCE       
162	FACULTAD DE DERECHO                                                                                 	FD
163	FACULTAD DE CIENCIAS HUMANAS                                                                        	FCH       
164	FACULTAD DE INGENIERIA Y TECNOLOG�AS                                                                	FIT       
165	FACULTAD DE PSICOLOG�A                                                                              	FPSIC
166	FACULTAD DE ODONTOLOG�A                                                                             	FOD       
167	DIRECCI�N DE RELACIONES INSTITUCIONALES Y COMUNICACIONES                                            	DIRSECCOM
168	SEDE PUNTA DEL ESTE- MALDONADO                                                                      	PESTE     
169	SEDE LITORAL NORTE - PAYSAND�                                                                       	PDU
170	SEDE LITORAL NORTE - SALTO                                                                          	SALTO     
171	ASESOR�A LEGAL                                                                                      	ASSLEGAL
172	BIBLIOTECA Y ARCHIVO                                                                                	BIBLIOTECA
173	SECRETARIA SEDE CENTRO                                                                              	CDP
174	DIRECCI�N ADMINISTRATIVA Y FINANCIERA                                                               	DAF       
176	DIRECCI�N DE PLANTA F�SICA                                                                          	DPF       
177	DIRECCI�N DE RECURSOS HUMANOS                                                                       	DIRGESTHUM
178	FACULTAD DE ENFERMER�A Y TECNOLOG�AS DE LA SALUD                                                    	FETS
179	GENERALES                                                                                           	Generales 
180	CENTRO DE DESARROLLO PROFESIONAL                                                                    	CDP
181	SEDES MONTEVIDEO                                                                                    	MDEO
182	RECTOR�A                                                                                            	Rector�a  
183	REGISTRO ACAD�MICO                                                                                  	ORA
185	SEDE TACUAREMB�                                                                                     	TBO
186	VICERRECTOR�A DEL MEDIO UNIVERSITARIO                                                               	VMU
187	VICERRECTOR�A ACAD�MICA                                                                             	VRAC
188	VICERRECTOR�A ADMINISTRATIVA                                                                        	VRAD      
189	IDIOMAS                                                                                             	Idiomas
190	ISEDE                                                                                               	ISEDE
191	SERVICIO DE ATENCI�N AL AULA                                                                        	SAA
192	ASESOR�A EN SISTEMAS DE INFORMACI�N                                                                 	DSI       
193	SECRETARIA DE PLANEAMIENTO Y AN�LISIS INSTITUCIONAL                                                 	SEPLANI
194	VMU-DEPARTAMENTO DE FORMACI�N HUMAN�STICA                                                           	DFH
195	FACULTAD DE CIENCIAS EMPRESARIALES                                                                  	FCE       
196	FACULTAD DE DERECHO                                                                                 	FD
197	FACULTAD DE CIENCIAS HUMANAS                                                                        	FCH       
198	FACULTAD DE INGENIERIA Y TECNOLOG�AS                                                                	FIT       
199	FACULTAD DE PSICOLOG�A                                                                              	FPSIC
200	FACULTAD DE ODONTOLOG�A                                                                             	FOD       
201	DIRECCI�N DE RELACIONES INSTITUCIONALES Y COMUNICACIONES                                            	DIRSECCOM
202	SEDE PUNTA DEL ESTE- MALDONADO                                                                      	PESTE     
204	SEDE LITORAL NORTE - SALTO                                                                          	SALTO     
205	ASESOR�A LEGAL                                                                                      	ASSLEGAL
206	BIBLIOTECA Y ARCHIVO                                                                                	BIBLIOTECA
207	SECRETARIA SEDE CENTRO                                                                              	CDP
208	DIRECCI�N ADMINISTRATIVA Y FINANCIERA                                                               	DAF       
210	DIRECCI�N DE PLANTA F�SICA                                                                          	DPF       
211	DIRECCI�N DE RECURSOS HUMANOS                                                                       	DIRGESTHUM
212	FACULTAD DE ENFERMER�A Y TECNOLOG�AS DE LA SALUD                                                    	FETS
213	GENERALES                                                                                           	Generales 
214	CENTRO DE DESARROLLO PROFESIONAL                                                                    	CDP
215	SEDES MONTEVIDEO                                                                                    	MDEO
216	RECTOR�A                                                                                            	Rector�a  
217	REGISTRO ACAD�MICO                                                                                  	ORA
219	SEDE TACUAREMB�                                                                                     	TBO
220	VICERRECTOR�A DEL MEDIO UNIVERSITARIO                                                               	VMU
221	VICERRECTOR�A ACAD�MICA                                                                             	VRAC
222	VICERRECTORIA DE GESTION ECONOMICA Y DESARROLLO                                                     	VGED
223	IDIOMAS                                                                                             	Idiomas
224	ISEDE                                                                                               	ISEDE
225	SERVICIO DE ATENCI�N AL AULA                                                                        	SAA
226	DIRECCI�N DE SISTEMAS                                                                               	ASSSISTINF
227	SECRETARIA DE INFORMACION ESTRATEGICA Y CALIDAD                                                     	SIEC
228	VMU-DEPARTAMENTO DE FORMACI�N HUMAN�STICA                                                           	DFH
229	FACULTAD DE CIENCIAS EMPRESARIALES                                                                  	FCE       
230	FACULTAD DE DERECHO                                                                                 	FD
231	FACULTAD DE CIENCIAS HUMANAS                                                                        	FCH       
232	FACULTAD DE INGENIERIA Y TECNOLOG�AS                                                                	FIT       
233	FACULTAD DE PSICOLOG�A                                                                              	FPSIC
234	FACULTAD DE ODONTOLOG�A                                                                             	FOD       
235	DRIC-SECRETAR�A DE ADMISI�N                                                                         	DRIC
236	SEDE PUNTA DEL ESTE- MALDONADO                                                                      	PESTE     
238	SEDE LITORAL NORTE - SALTO                                                                          	SALTO     
