CENTRO_COSTO_MGX_COD_AGRUPACION	CENTRO_COSTO_MGX_DESC_AREA	DESCR_CORTA
126	DEPARTAMENTO DE FORMACIÓN HUMANÍSTICA	DFH
127	FACULTAD DE CIENCIAS EMPRESARIALES	FCE       
128	FACULTAD DE DERECHO	FD
129	FACULTAD DE CIENCIAS HUMANAS	FCH       
130	FACULTAD DE INGENIERIA Y TECNOLOGÍAS	FIT       
131	FACULTAD DE PSICOLOGÍA	FPSIC
132	FACULTAD DE ODONTOLOGÍA	FOD       
133	DIRECCIÓN DE RELACIONES INSTITUCIONALES Y COMUNICACIONES	DIRSECCOM
134	SEDE PUNTA DEL ESTE- MALDONADO	PESTE     
135	SEDE LITORAL NORTE - PAYSANDÚ	PDU
136	SEDE LITORAL NORTE - SALTO	SALTO     
137	ASESORÍA LEGAL	ASSLEGAL
138	BIBLIOTECA Y ARCHIVO	BIBLIOTECA
139	SECRETARIA SEDE CENTRO	CDP
140	DIRECCIÓN ADMINISTRATIVA Y FINANCIERA	DAF       
142	DIRECCIÓN DE PLANTA FÍSICA	DPF       
143	DIRECCIÓN DE RECURSOS HUMANOS	DIRGESTHUM
144	FACULTAD DE ENFERMERÍA Y TECNOLOGÍAS DE LA SALUD	FETS
145	GENERALES	Generales 
146	CENTRO DE DESARROLLO PROFESIONAL	CDP
147	SEDES MONTEVIDEO	MDEO
148	RECTORÍA	Rectoría  
149	REGISTRO ACADÉMICO	ORA
151	SEDE TACUAREMBÓ	TBO
152	VICERRECTORÍA DEL MEDIO UNIVERSITARIO	VMU
153	VICERRECTORÍA ACADÉMICA	VRAC
154	VICERRECTORÍA ADMINISTRATIVA	VRAD      
155	IDIOMAS	Idiomas
156	ISEDE	ISEDE
157	SERVICIO DE ATENCIÓN AL AULA	SAA
158	ASESORÍA EN SISTEMAS DE INFORMACIÓN	DSI       
159	SECRETARIA DE PLANEAMIENTO Y ANÁLISIS INSTITUCIONAL	SEPLANI
160	DEPARTAMENTO DE FORMACIÓN HUMANÍSTICA	DFH
161	FACULTAD DE CIENCIAS EMPRESARIALES	FCE       
162	FACULTAD DE DERECHO	FD
163	FACULTAD DE CIENCIAS HUMANAS	FCH       
164	FACULTAD DE INGENIERIA Y TECNOLOGÍAS	FIT       
165	FACULTAD DE PSICOLOGÍA	FPSIC
166	FACULTAD DE ODONTOLOGÍA	FOD       
167	DIRECCIÓN DE RELACIONES INSTITUCIONALES Y COMUNICACIONES	DIRSECCOM
168	SEDE PUNTA DEL ESTE- MALDONADO	PESTE     
169	SEDE LITORAL NORTE - PAYSANDÚ	PDU
170	SEDE LITORAL NORTE - SALTO	SALTO     
171	ASESORÍA LEGAL	ASSLEGAL
172	BIBLIOTECA Y ARCHIVO	BIBLIOTECA
173	SECRETARIA SEDE CENTRO	CDP
174	DIRECCIÓN ADMINISTRATIVA Y FINANCIERA	DAF       
176	DIRECCIÓN DE PLANTA FÍSICA	DPF       
177	DIRECCIÓN DE RECURSOS HUMANOS	DIRGESTHUM
178	FACULTAD DE ENFERMERÍA Y TECNOLOGÍAS DE LA SALUD	FETS
179	GENERALES	Generales 
180	CENTRO DE DESARROLLO PROFESIONAL	CDP
181	SEDES MONTEVIDEO	MDEO
182	RECTORÍA	Rectoría  
183	REGISTRO ACADÉMICO	ORA
185	SEDE TACUAREMBÓ	TBO
186	VICERRECTORÍA DEL MEDIO UNIVERSITARIO	VMU
187	VICERRECTORÍA ACADÉMICA	VRAC
188	VICERRECTORÍA ADMINISTRATIVA	VRAD      
189	IDIOMAS	Idiomas
190	ISEDE	ISEDE
191	SERVICIO DE ATENCIÓN AL AULA	SAA
192	ASESORÍA EN SISTEMAS DE INFORMACIÓN	DSI       
193	SECRETARIA DE PLANEAMIENTO Y ANÁLISIS INSTITUCIONAL	SEPLANI
194	VMU-DEPARTAMENTO DE FORMACIÓN HUMANÍSTICA	DFH
195	FACULTAD DE CIENCIAS EMPRESARIALES	FCE       
196	FACULTAD DE DERECHO	FD
197	FACULTAD DE CIENCIAS HUMANAS	FCH       
198	FACULTAD DE INGENIERIA Y TECNOLOGÍAS	FIT       
199	FACULTAD DE PSICOLOGÍA	FPSIC
200	FACULTAD DE ODONTOLOGÍA	FOD       
201	DIRECCIÓN DE RELACIONES INSTITUCIONALES Y COMUNICACIONES	DIRSECCOM
202	SEDE PUNTA DEL ESTE- MALDONADO	PESTE     
204	SEDE LITORAL NORTE - SALTO	SALTO     
205	ASESORÍA LEGAL	ASSLEGAL
206	BIBLIOTECA Y ARCHIVO	BIBLIOTECA
207	SECRETARIA SEDE CENTRO	CDP
208	DIRECCIÓN ADMINISTRATIVA Y FINANCIERA	DAF       
210	DIRECCIÓN DE PLANTA FÍSICA	DPF       
211	DIRECCIÓN DE RECURSOS HUMANOS	DIRGESTHUM
212	FACULTAD DE ENFERMERÍA Y TECNOLOGÍAS DE LA SALUD	FETS
213	GENERALES	Generales 
214	CENTRO DE DESARROLLO PROFESIONAL	CDP
215	SEDES MONTEVIDEO	MDEO
216	RECTORÍA	Rectoría  
217	REGISTRO ACADÉMICO	ORA
219	SEDE TACUAREMBÓ	TBO
220	VICERRECTORÍA DEL MEDIO UNIVERSITARIO	VMU
221	VICERRECTORÍA ACADÉMICA	VRAC
222	VICERRECTORIA DE GESTION ECONOMICA Y DESARROLLO	VGED
223	IDIOMAS	Idiomas
224	ISEDE	ISEDE
225	SERVICIO DE ATENCIÓN AL AULA	SAA
226	DIRECCIÓN DE SISTEMAS	ASSSISTINF
227	SECRETARIA DE INFORMACION ESTRATEGICA Y CALIDAD	SIEC
228	VMU-DEPARTAMENTO DE FORMACIÓN HUMANÍSTICA	DFH
229	FACULTAD DE CIENCIAS EMPRESARIALES	FCE       
230	FACULTAD DE DERECHO	FD
231	FACULTAD DE CIENCIAS HUMANAS	FCH       
232	FACULTAD DE INGENIERIA Y TECNOLOGÍAS	FIT       
233	FACULTAD DE PSICOLOGÍA	FPSIC
234	FACULTAD DE ODONTOLOGÍA	FOD       
235	DRIC-SECRETARÍA DE ADMISIÓN	DRIC
236	SEDE PUNTA DEL ESTE- MALDONADO	PESTE     
238	SEDE LITORAL NORTE - SALTO	SALTO     
239	SECRETARÍA DE ASUNTOS JURÍDICOS	JURIDICA
240	SISTEMAS DE BIBLIOTECA	BIBLIOTECA
241	SECRETARIA SEDE CENTRO	CDP
242	DIRECCIÓN ADMINISTRATIVA Y FINANCIERA	DAF       
243	DIRECCIÓN DE PLANTA FÍSICA	DPF       
244	DIRECCIÓN DE GESTIÓN HUMANA	DGH       
245	FACULTAD DE ENFERMERÍA Y TECNOLOGÍAS DE LA SALUD	FETS
246	GENERALES	Generales 
247	CENTRO DE DESARROLLO TÉCNICO PROFESIONAL	CDTP
248	SEDES MONTEVIDEO	MDEO
249	RECTORÍA	Rectoría  
250	REGISTRO ACADÉMICO	ORA
251	SEDE TACUAREMBÓ	TBO
252	VICERRECTORÍA DEL MEDIO UNIVERSITARIO	VMU
253	VICERRECTORÍA ACADÉMICA	VRAC
254	VICERRECTORIA DE GESTION ECONOMICA Y DESARROLLO	VGED
255	CENTRO DE IDIOMAS	DPING     
256	ESCUELA DE NEGOCIOS	ESCNEG
258	DIRECCIÓN DE SISTEMAS DE INFORMACIÓN	DSI       
259	SECRETARIA DE INFORMACION ESTRATEGICA Y CALIDAD	SIEC
260	DRIC-SECRETARÍA DE COMUNICACIÓN INSTITUCIONAL	DRIC
261	DRIC-SECRETARÍA DE RELACIONES INSTITUCIONALES	DRIC
262	VMU-DEPARTAMENTO DE FORMACIÓN HUMANÍSTICA	DFH
263	FACULTAD DE CIENCIAS EMPRESARIALES	FCE       
264	FACULTAD DE DERECHO	FD
265	FACULTAD DE CIENCIAS HUMANAS	FCH       
266	FACULTAD DE INGENIERIA Y TECNOLOGÍAS	FIT       
267	FACULTAD DE PSICOLOGÍA	FPSIC
268	FACULTAD DE ODONTOLOGÍA	FOD       
269	DRIC-SECRETARÍA DE ADMISIÓN	DRIC
270	SEDE PUNTA DEL ESTE- MALDONADO	PESTE     
272	SEDE LITORAL NORTE - SALTO	SALTO     
273	SECRETARÍA DE ASUNTOS JURÍDICOS	JURIDICA
274	SISTEMAS DE BIBLIOTECA	BIBLIOTECA
276	DIRECCIÓN ADMINISTRATIVA Y FINANCIERA	DAF       
277	DIRECCIÓN DE PLANTA FÍSICA	DPF       
278	DIRECCIÓN DE GESTIÓN HUMANA	DGH       
279	FACULTAD DE ENFERMERÍA Y TECNOLOGÍAS DE LA SALUD	FETS
280	GENERALES	Generales 
281	CENTRO DE DESARROLLO TÉCNICO PROFESIONAL	CDTP
