cod_clasedpto	nom_clasedpto	cod_tipodpto	nom_tipodpto	Unidad_Operativa	Unidad_Operativa_Desc	fuente
146	CENTRO DE DESARROLLO PROFESIONAL	CDP	Centro De Desarrollo Profesional	CDP	Centro De Desarrollo Profesional	MAGIX
180	CENTRO DE DESARROLLO PROFESIONAL	CDP	Centro De Desarrollo Profesional	CDP	Centro De Desarrollo Profesional	MAGIX
214	CENTRO DE DESARROLLO PROFESIONAL	CDP	Centro De Desarrollo Profesional	CDP	Centro De Desarrollo Profesional	MAGIX
421	CENTRO DE DESARROLLO TÉCNICO PROFESIONAL	CDTP	Centro De Desarrollo Técnico Profesional	CDTP	Centro De Desarrollo Técnico Profesional	MAGIX
384	CENTRO DE DESARROLLO TÉCNICO PROFESIONAL	CDTP	Centro De Desarrollo Técnico Profesional	CDTP	Centro De Desarrollo Técnico Profesional	MAGIX
281	CENTRO DE DESARROLLO TÉCNICO PROFESIONAL	CDTP	Centro De Desarrollo Técnico Profesional	CDTP	Centro De Desarrollo Técnico Profesional	MAGIX
247	CENTRO DE DESARROLLO TÉCNICO PROFESIONAL	CDTP	Centro De Desarrollo Técnico Profesional	CDTP	Centro De Desarrollo Técnico Profesional	MAGIX
350	CENTRO DE DESARROLLO TÉCNICO PROFESIONAL	CDTP	Centro De Desarrollo Técnico Profesional	CDTP	Centro De Desarrollo Técnico Profesional	MAGIX
317	CENTRO DE DESARROLLO TÉCNICO PROFESIONAL	CDTP	Centro De Desarrollo Técnico Profesional	CDTP	Centro De Desarrollo Técnico Profesional	MAGIX
477	CENTRO DE EDUCACIÓN CONTINUA	CEC	Centro De Educación Continua	CEC	Centro De Educación Continua	MAGIX
402	CENTRO DE EDUCACIÓN CONTINUA	CEC	Centro De Educación Continua	CEC	Centro De Educación Continua	MAGIX
437	CENTRO DE EDUCACIÓN CONTINUA	CEC	Centro De Educación Continua	CEC	Centro De Educación Continua	MAGIX
440	ESCUELA DE POSTGRADOS	EPG	Escuela De Postgrados	EPG	Escuela De Postgrados	MAGIX
480	ESCUELA DE POSTGRADOS	EPG	Escuela De Postgrados	EPG	Escuela De Postgrados	MAGIX
366	FACULTAD DE CIENCIAS EMPRESARIALES	FCE	Facultad De Ciencias Empresariales	FCE	Facultad De Ciencias Empresariales	MAGIX
332	FACULTAD DE CIENCIAS EMPRESARIALES	FCE	Facultad De Ciencias Empresariales	FCE	Facultad De Ciencias Empresariales	MAGIX
263	FACULTAD DE CIENCIAS EMPRESARIALES	FCE	Facultad De Ciencias Empresariales	FCE	Facultad De Ciencias Empresariales	MAGIX
299	FACULTAD DE CIENCIAS EMPRESARIALES	FCE	Facultad De Ciencias Empresariales	FCE	Facultad De Ciencias Empresariales	MAGIX
403	FACULTAD DE CIENCIAS EMPRESARIALES	FCE	Facultad De Ciencias Empresariales	FCE	Facultad De Ciencias Empresariales	MAGIX
